step;plan_fact;plan_prj;plan_delta;vozv_fact;vozv_prj;prof_fact;prof_fact_left;prof_fact_right;prof_prj;prof_delta;ubound_plan;lbound_plan;ubound_prof;lbound_prof
1113;-133.358;-134.613;34.106;-17.32;-14.979;3.423;3.423;5.704;3.287;34.893;50.0;-50.0;70.0;10.0
1114;-133.366;-134.613;34.14;-16.488;-14.979;3.653;3.653;6.116;3.287;34.568;50.0;-50.0;70.0;10.0
1115;-133.375;-134.613;34.176;-17.32;-14.979;3.893;3.893;6.527;3.287;34.247;50.0;-50.0;70.0;10.0
1116;-133.387;-134.613;34.212;-18.361;-14.979;4.143;4.143;6.937;3.287;33.929;50.0;-50.0;70.0;10.0
1117;-133.402;-134.613;34.25;-18.777;-14.979;4.404;4.404;7.345;3.287;33.614;50.0;-50.0;70.0;10.0
1118;-133.419;-134.613;34.288;-18.361;-14.979;4.673;4.673;7.75;3.287;33.303;50.0;-50.0;70.0;10.0
1119;-133.439;-134.613;34.327;-17.945;-14.979;4.951;4.951;8.152;3.287;32.997;50.0;-50.0;70.0;10.0
1120;-133.462;-134.613;34.368;-18.985;-14.979;5.237;5.237;8.549;3.287;32.694;50.0;-50.0;70.0;10.0
1121;-133.488;-134.613;34.409;-19.609;-14.979;5.53;5.53;8.941;3.287;32.395;50.0;-50.0;70.0;10.0
1122;-133.516;-134.613;34.451;-20.025;-14.979;5.83;5.83;9.326;3.287;32.101;50.0;-50.0;70.0;10.0
1123;-133.548;-134.613;34.494;-19.817;-14.979;6.136;6.136;9.703;3.287;31.812;50.0;-50.0;70.0;10.0
1124;-133.583;-134.613;34.538;-19.817;-14.979;6.447;6.447;10.071;3.287;31.528;50.0;-50.0;70.0;10.0
1125;-133.619;-134.613;34.582;-20.441;-14.979;6.76;6.76;10.429;3.287;31.249;50.0;-50.0;70.0;10.0
1126;-133.658;-134.613;34.628;-20.649;-14.979;7.076;7.076;10.775;3.287;30.975;50.0;-50.0;70.0;10.0
1127;-133.698;-134.613;34.674;-21.481;-14.979;7.393;7.393;11.109;3.287;30.707;50.0;-50.0;70.0;10.0
1128;-133.739;-134.613;34.721;-21.065;-14.979;7.709;7.709;11.429;3.287;30.444;50.0;-50.0;70.0;10.0
1129;-133.782;-134.613;34.769;-22.105;-14.979;8.025;8.025;11.734;3.287;30.187;50.0;-50.0;70.0;10.0
1130;-133.826;-134.613;34.817;-23.978;-14.979;8.338;8.338;12.025;3.287;29.937;50.0;-50.0;70.0;10.0
1131;-133.87;-134.613;34.867;-24.186;-14.979;8.649;8.649;12.3;3.287;29.692;50.0;-50.0;70.0;10.0
1132;-133.915;-134.613;34.916;-23.562;-14.979;8.957;8.957;12.558;3.287;29.454;50.0;-50.0;70.0;10.0
1133;-133.96;-134.613;34.967;-22.521;-14.979;9.261;9.261;12.8;3.287;29.223;50.0;-50.0;70.0;10.0
1134;-134.005;-134.613;35.018;-22.521;-14.979;9.561;9.561;13.024;3.287;28.999;50.0;-50.0;70.0;10.0
1135;-134.048;-134.613;35.07;-23.146;-14.979;9.854;9.854;13.231;3.287;28.781;50.0;-50.0;70.0;10.0
1136;-134.091;-134.613;35.122;-22.729;-14.979;10.141;10.141;13.419;3.335;28.571;50.0;-50.0;70.0;10.0
1137;-134.134;-134.613;35.175;-21.689;-14.979;10.42;10.42;13.589;3.39;28.368;50.0;-50.0;70.0;10.0
1138;-134.175;-134.613;35.228;-21.481;-14.979;10.69;10.69;13.74;3.445;28.172;50.0;-50.0;70.0;10.0
1139;-134.216;-134.613;35.282;-22.521;-14.979;10.952;10.952;13.872;3.5;27.983;50.0;-50.0;70.0;10.0
1140;-134.258;-134.613;35.336;-23.146;-14.979;11.205;11.205;13.984;3.555;27.801;50.0;-50.0;70.0;10.0
1141;-134.299;-134.613;35.391;-22.729;-14.979;11.447;11.447;14.076;3.61;27.625;50.0;-50.0;70.0;10.0
1142;-134.341;-134.613;35.446;-21.689;-14.979;11.678;11.678;14.149;3.665;27.457;50.0;-50.0;70.0;10.0
1143;-134.383;-134.613;35.501;-21.065;-14.979;11.898;11.898;14.202;3.721;27.294;50.0;-50.0;70.0;10.0
1144;-134.427;-134.613;35.557;-22.105;-14.979;12.106;12.106;14.235;3.776;27.138;50.0;-50.0;70.0;10.0
1145;-134.472;-134.613;35.612;-22.313;-14.979;12.3;12.3;14.247;3.831;26.989;50.0;-50.0;70.0;10.0
1146;-134.519;-134.613;35.668;-21.273;-14.979;12.481;12.481;14.241;3.886;26.845;50.0;-50.0;70.0;10.0
1147;-134.569;-134.613;35.724;-20.649;-14.979;12.648;12.648;14.214;3.941;26.708;50.0;-50.0;70.0;10.0
1148;-134.621;-134.613;35.78;-20.753;-14.979;12.801;12.801;14.168;3.996;26.576;50.0;-50.0;70.0;10.0
1149;-134.677;-134.613;35.836;-21.273;-14.979;12.939;12.939;14.103;4.051;26.451;50.0;-50.0;70.0;10.0
1150;-134.736;-134.613;35.892;-21.689;-14.979;13.062;13.062;14.019;4.106;26.331;50.0;-50.0;70.0;10.0
1151;-134.798;-134.613;35.948;-21.481;-14.979;13.17;13.17;13.917;4.162;26.217;50.0;-50.0;70.0;10.0
1152;-134.862;-134.613;36.004;-19.401;-14.979;13.262;13.262;13.798;4.217;26.108;50.0;-50.0;70.0;10.0
1153;-134.929;-134.613;36.059;-20.233;-14.979;13.339;13.339;13.664;4.272;26.005;50.0;-50.0;70.0;10.0
1154;-134.997;-134.613;36.115;-21.065;-14.979;13.401;13.401;13.516;4.327;25.907;50.0;-50.0;70.0;10.0
1155;-135.065;-134.613;36.17;-20.441;-14.979;13.448;13.448;13.355;4.382;25.814;50.0;-50.0;70.0;10.0
1156;-135.133;-134.613;36.225;-19.193;-14.979;13.481;13.481;13.182;4.437;25.726;50.0;-50.0;70.0;10.0
1157;-135.2;-134.613;36.279;-18.153;-14.979;13.499;13.499;12.999;4.492;25.643;50.0;-50.0;70.0;10.0
1158;-135.267;-134.613;36.333;-17.529;-14.979;13.503;13.503;12.807;4.548;25.565;50.0;-50.0;70.0;10.0
1159;-135.332;-134.613;36.387;-17.529;-14.979;13.492;13.492;12.606;4.603;25.492;50.0;-50.0;70.0;10.0
1160;-135.394;-134.613;36.44;-18.153;-14.979;13.468;13.468;12.398;4.658;25.423;50.0;-50.0;70.0;10.0
1161;-135.455;-134.613;36.493;-16.904;-14.979;13.431;13.431;12.183;4.713;25.359;50.0;-50.0;70.0;10.0
1162;-135.512;-134.613;36.545;-13.992;-14.979;13.38;13.38;11.964;4.768;25.299;50.0;-50.0;70.0;10.0
1163;-135.566;-134.613;36.597;-12.952;-14.979;13.317;13.317;11.739;4.823;25.244;50.0;-50.0;70.0;10.0
1164;-135.617;-134.613;36.647;-12.952;-14.979;13.243;13.243;11.511;4.878;25.192;50.0;-50.0;70.0;10.0
1165;-135.665;-134.613;36.698;-13.368;-14.979;13.156;13.156;11.279;4.934;25.145;50.0;-50.0;70.0;10.0
1166;-135.708;-134.613;36.747;-13.992;-14.979;13.059;13.059;11.045;4.989;25.102;50.0;-50.0;70.0;10.0
1167;-135.747;-134.613;36.796;-14.408;-14.979;12.951;12.951;10.808;5.044;25.063;50.0;-50.0;70.0;10.0
1168;-135.783;-134.613;36.844;-13.368;-14.979;12.833;12.833;10.57;5.099;25.027;50.0;-50.0;70.0;10.0
1169;-135.815;-134.613;36.891;-12.744;-14.979;12.706;12.706;10.332;5.154;24.995;50.0;-50.0;70.0;10.0
1170;-135.843;-134.613;36.937;-13.368;-14.979;12.571;12.571;10.095;5.209;24.966;50.0;-50.0;70.0;10.0
1171;-135.868;-134.613;36.982;-14.2;-14.979;12.427;12.427;9.858;5.264;24.941;50.0;-50.0;70.0;10.0
1172;-135.889;-134.613;37.026;-13.992;-14.979;12.277;12.277;9.624;5.32;24.919;50.0;-50.0;70.0;10.0
1173;-135.907;-134.613;37.069;-11.911;-14.979;12.12;12.12;9.392;5.375;24.901;50.0;-50.0;70.0;10.0
1174;-135.922;-134.613;37.111;-11.287;-14.979;11.957;11.957;9.162;5.43;24.885;50.0;-50.0;70.0;10.0
1175;-135.933;-134.613;37.152;-11.287;-14.979;11.79;11.79;8.936;5.485;24.872;50.0;-50.0;70.0;10.0
1176;-135.942;-134.613;37.191;-13.576;-14.979;11.618;11.618;8.714;5.54;24.863;50.0;-50.0;70.0;10.0
1177;-135.949;-134.613;37.23;-14.616;-14.979;11.441;11.441;8.497;5.595;24.855;50.0;-50.0;70.0;10.0
1178;-135.953;-134.613;37.267;-14.616;-14.979;11.262;11.262;8.284;5.65;24.851;50.0;-50.0;70.0;10.0
1179;-135.955;-134.613;37.303;-12.536;-14.979;11.08;11.08;8.077;5.705;24.849;50.0;-50.0;70.0;10.0
1180;-135.955;-134.613;37.337;-11.287;-14.979;10.897;10.897;7.876;5.761;24.85;50.0;-50.0;70.0;10.0
1181;-135.953;-134.613;37.37;-12.12;-14.979;10.713;10.713;7.681;5.816;24.852;50.0;-50.0;70.0;10.0
1182;-135.949;-134.613;37.402;-13.368;-14.979;10.529;10.529;7.493;5.871;24.857;50.0;-50.0;70.0;10.0
1183;-135.944;-134.613;37.432;-13.784;-14.979;10.346;10.346;7.31;5.926;24.864;50.0;-50.0;70.0;10.0
1184;-135.936;-134.613;37.461;-13.16;-14.979;10.163;10.163;7.135;5.981;24.873;50.0;-50.0;70.0;10.0
1185;-135.927;-134.613;37.488;-11.495;-14.979;9.983;9.983;6.966;6.036;24.884;50.0;-50.0;70.0;10.0
1186;-135.917;-134.613;37.513;-11.703;-14.979;9.804;9.804;6.805;6.091;24.897;50.0;-50.0;70.0;10.0
1187;-135.905;-134.613;37.537;-13.992;-14.979;9.629;9.629;6.65;6.147;24.911;50.0;-50.0;70.0;10.0
1188;-135.891;-134.613;37.559;-14.408;-14.979;9.457;9.457;6.501;6.202;24.927;50.0;-50.0;70.0;10.0
1189;-135.876;-134.613;37.579;-14.408;-14.979;9.289;9.289;6.358;6.257;24.944;50.0;-50.0;70.0;10.0
1190;-135.861;-134.613;37.598;-13.576;-14.979;9.125;9.125;6.222;6.267;24.962;50.0;-50.0;70.0;10.0
1191;-135.844;-134.613;37.614;-12.12;-14.979;8.967;8.967;6.091;6.267;24.982;50.0;-50.0;70.0;10.0
1192;-135.825;-134.613;37.629;-12.536;-14.979;8.813;8.813;5.966;6.267;25.003;50.0;-50.0;70.0;10.0
1193;-135.805;-134.613;37.643;-12.952;-14.979;8.665;8.665;5.847;6.267;25.025;50.0;-50.0;70.0;10.0
1194;-135.783;-134.613;37.654;-12.952;-14.979;8.522;8.522;5.733;6.267;25.049;50.0;-50.0;70.0;10.0
1195;-135.759;-134.613;37.665;-12.744;-14.979;8.384;8.384;5.625;6.267;25.073;50.0;-50.0;70.0;10.0
1196;-135.733;-134.613;37.673;-11.911;-14.979;8.251;8.251;5.522;6.267;25.099;50.0;-50.0;70.0;10.0
1197;-135.706;-134.613;37.681;-12.328;-14.979;8.124;8.124;5.424;6.267;25.125;50.0;-50.0;70.0;10.0
1198;-135.676;-134.613;37.687;-13.16;-14.979;8.002;8.002;5.33;6.267;25.153;50.0;-50.0;70.0;10.0
1199;-135.643;-134.613;37.692;-13.368;-14.979;7.885;7.885;5.242;6.267;25.182;50.0;-50.0;70.0;10.0
1200;-135.607;-134.613;37.695;-13.16;-14.979;7.774;7.774;5.159;6.267;25.212;50.0;-50.0;70.0;10.0
1201;-135.567;-134.613;37.698;-13.368;-14.979;7.669;7.669;5.08;6.267;25.243;50.0;-50.0;70.0;10.0
1202;-135.523;-134.613;37.699;-13.368;-14.979;7.569;7.569;5.007;6.267;25.274;50.0;-50.0;70.0;10.0
1203;-135.475;-134.613;37.699;-13.576;-14.979;7.474;7.474;4.937;6.267;25.307;50.0;-50.0;70.0;10.0
1204;-135.422;-134.613;37.699;-14.408;-14.979;7.385;7.385;4.872;6.267;25.341;50.0;-50.0;70.0;10.0
1205;-135.365;-134.613;37.697;-14.824;-14.979;7.302;7.302;4.811;6.267;25.376;50.0;-50.0;70.0;10.0
1206;-135.303;-134.613;37.695;-14.616;-14.979;7.224;7.224;4.752;6.267;25.411;50.0;-50.0;70.0;10.0
1207;-135.238;-134.613;37.691;-14.616;-14.979;7.152;7.152;4.696;6.267;25.447;50.0;-50.0;70.0;10.0
1208;-135.171;-134.613;37.687;-14.408;-14.979;7.085;7.085;4.641;6.267;25.485;50.0;-50.0;70.0;10.0
1209;-135.101;-134.613;37.683;-14.616;-14.979;7.022;7.022;4.588;6.267;25.523;50.0;-50.0;70.0;10.0
1210;-135.031;-134.613;37.678;-13.784;-14.979;6.965;6.965;4.535;6.267;25.561;50.0;-50.0;70.0;10.0
1211;-134.959;-134.613;37.672;-14.824;-14.979;6.911;6.911;4.482;6.267;25.601;50.0;-50.0;70.0;10.0
1212;-134.888;-134.613;37.666;-14.824;-14.979;6.861;6.861;4.427;6.267;25.641;50.0;-50.0;70.0;10.0
1213;-134.817;-134.613;37.659;-14.2;-14.979;6.815;6.815;4.372;6.267;25.682;50.0;-50.0;70.0;10.0
1214;-134.747;-134.613;37.652;-14.824;-14.979;6.771;6.771;4.316;6.267;25.724;50.0;-50.0;70.0;10.0
1215;-134.678;-134.613;37.645;-15.24;-14.979;6.73;6.73;4.259;6.267;25.766;50.0;-50.0;70.0;10.0
1216;-134.612;-134.613;37.637;-15.24;-14.979;6.692;6.692;4.2;6.267;25.809;50.0;-50.0;70.0;10.0
1217;-134.546;-134.613;37.629;-15.032;-14.979;6.655;6.655;4.139;6.267;25.852;50.0;-50.0;70.0;10.0
1218;-134.483;-134.613;37.622;-15.032;-14.979;6.62;6.62;4.077;6.267;25.896;50.0;-50.0;70.0;10.0
1219;-134.423;-134.613;37.614;-15.448;-14.979;6.588;6.588;4.014;6.267;25.941;50.0;-50.0;70.0;10.0
1220;-134.364;-134.613;37.606;-15.032;-14.979;6.556;6.556;3.95;6.267;25.986;50.0;-50.0;70.0;10.0
1221;-134.308;-134.613;37.598;-15.24;-14.979;6.527;6.527;3.884;6.267;26.032;50.0;-50.0;70.0;10.0
1222;-134.255;-134.613;37.59;-15.864;-14.979;6.499;6.499;3.817;6.267;26.078;50.0;-50.0;70.0;10.0
1223;-134.204;-134.613;37.583;-15.656;-14.979;6.471;6.471;3.749;6.267;26.124;50.0;-50.0;70.0;10.0
1224;-134.156;-134.613;37.575;-16.072;-14.979;6.444;6.444;3.679;6.267;26.171;50.0;-50.0;70.0;10.0
1225;-134.11;-134.613;37.568;-16.904;-14.979;6.417;6.417;3.608;6.267;26.219;50.0;-50.0;70.0;10.0
1226;-134.067;-134.613;37.562;-16.696;-14.979;6.389;6.389;3.535;6.267;26.267;50.0;-50.0;70.0;10.0
1227;-134.026;-134.613;37.556;-16.28;-14.979;6.36;6.36;3.462;6.267;26.315;50.0;-50.0;70.0;10.0
1228;-133.988;-134.613;37.55;-16.488;-14.979;6.329;6.329;3.387;6.267;26.363;50.0;-50.0;70.0;10.0
1229;-133.952;-134.613;37.545;-16.28;-14.979;6.297;6.297;3.312;6.267;26.412;50.0;-50.0;70.0;10.0
1230;-133.918;-134.613;37.54;-16.072;-14.979;6.263;6.263;3.235;6.267;26.461;50.0;-50.0;70.0;10.0
1231;-133.885;-134.613;37.536;-15.864;-14.979;6.227;6.227;3.159;6.267;26.51;50.0;-50.0;70.0;10.0
1232;-133.853;-134.613;37.533;-15.24;-14.979;6.188;6.188;3.082;6.267;26.56;50.0;-50.0;70.0;10.0
1233;-133.823;-134.613;37.531;-12.536;-14.979;6.148;6.148;3.006;6.267;26.609;50.0;-50.0;70.0;10.0
1234;-133.794;-134.613;37.53;-13.16;-14.979;6.105;6.105;2.93;6.267;26.659;50.0;-50.0;70.0;10.0
1235;-133.767;-134.613;37.529;-14.616;-14.979;6.059;6.059;2.856;6.267;26.709;50.0;-50.0;70.0;10.0
1236;-133.741;-134.613;37.529;-14.408;-14.979;6.011;6.011;2.782;6.267;26.759;50.0;-50.0;70.0;10.0
1237;-133.717;-134.613;37.531;-12.952;-14.979;5.96;5.96;2.711;6.267;26.81;50.0;-50.0;70.0;10.0
1238;-133.695;-134.613;37.533;-11.495;-14.979;5.907;5.907;2.641;6.267;26.86;50.0;-50.0;70.0;10.0
1239;-133.675;-134.613;37.537;-11.703;-14.979;5.852;5.852;2.575;6.267;26.91;50.0;-50.0;70.0;10.0
1240;-133.657;-134.613;37.542;-10.455;-14.979;5.794;5.794;2.512;6.267;26.961;50.0;-50.0;70.0;10.0
1241;-133.641;-134.613;37.548;-11.079;-14.979;5.733;5.733;2.452;6.267;27.011;50.0;-50.0;70.0;10.0
1242;-133.628;-134.613;37.556;-10.455;-14.979;5.67;5.67;2.398;6.267;27.061;50.0;-50.0;70.0;10.0
1243;-133.617;-134.613;37.565;-8.791;-14.979;5.604;5.604;2.348;6.267;27.112;50.0;-50.0;70.0;10.0
1244;-133.608;-134.613;37.575;-11.911;-14.979;5.536;5.536;2.305;6.3;27.162;50.0;-50.0;70.0;10.0
1245;-133.602;-134.613;37.587;-13.576;-14.979;5.466;5.466;2.268;6.342;27.212;50.0;-50.0;70.0;10.0
1246;-133.598;-134.613;37.601;-14.2;-14.979;5.394;5.394;2.238;6.385;27.262;50.0;-50.0;70.0;10.0
1247;-133.598;-134.613;37.615;-12.952;-14.979;5.321;5.321;2.214;6.427;27.311;50.0;-50.0;70.0;10.0
1248;-133.599;-134.613;37.631;-11.703;-14.979;5.247;5.247;2.199;6.47;27.361;50.0;-50.0;70.0;10.0
1249;-133.603;-134.613;37.649;-11.287;-14.979;5.172;5.172;2.19;6.513;27.409;50.0;-50.0;70.0;10.0
1250;-133.608;-134.613;37.668;-11.287;-14.979;5.097;5.097;2.189;6.555;27.458;50.0;-50.0;70.0;10.0
1251;-133.616;-134.613;37.688;-12.952;-14.979;5.022;5.022;2.196;6.598;27.506;50.0;-50.0;70.0;10.0
1252;-133.625;-134.613;37.709;-12.744;-14.979;4.948;4.948;2.21;6.641;27.553;50.0;-50.0;70.0;10.0
1253;-133.636;-134.613;37.732;-10.663;-14.979;4.876;4.876;2.231;6.683;27.599;50.0;-50.0;70.0;10.0
1254;-133.649;-134.613;37.756;-10.871;-14.979;4.805;4.805;2.26;6.726;27.645;50.0;-50.0;70.0;10.0
1255;-133.664;-134.613;37.78;-11.287;-14.979;4.736;4.736;2.296;6.768;27.69;50.0;-50.0;70.0;10.0
1256;-133.681;-134.613;37.807;-12.12;-14.979;4.669;4.669;2.339;6.811;27.734;50.0;-50.0;70.0;10.0
1257;-133.7;-134.613;37.834;-13.16;-14.979;4.605;4.605;2.389;6.854;27.778;50.0;-50.0;70.0;10.0
1258;-133.721;-134.613;37.862;-13.368;-14.979;4.544;4.544;2.446;6.896;27.82;50.0;-50.0;70.0;10.0
1259;-133.744;-134.613;37.892;-12.952;-14.979;4.485;4.485;2.51;6.939;27.861;50.0;-50.0;70.0;10.0
1260;-133.77;-134.613;37.922;-12.744;-14.979;4.43;4.43;2.581;6.982;27.901;50.0;-50.0;70.0;10.0
1261;-133.797;-134.613;37.954;-12.536;-14.979;4.378;4.378;2.659;7.024;27.94;50.0;-50.0;70.0;10.0
1262;-133.825;-134.613;37.986;-13.368;-14.979;4.33;4.33;2.744;7.067;27.977;50.0;-50.0;70.0;10.0
1263;-133.855;-134.613;38.02;-13.576;-14.979;4.286;4.286;2.835;7.109;28.013;50.0;-50.0;70.0;10.0
1264;-133.885;-134.613;38.054;-12.952;-14.979;4.246;4.246;2.932;7.152;28.048;50.0;-50.0;70.0;10.0
1265;-133.916;-134.613;38.089;-11.495;-14.979;4.211;4.211;3.037;7.195;28.081;50.0;-50.0;70.0;10.0
1266;-133.947;-134.613;38.125;-10.871;-14.979;4.18;4.18;3.147;7.237;28.113;50.0;-50.0;70.0;10.0
1267;-133.977;-134.613;38.163;-10.871;-14.979;4.156;4.156;3.264;7.28;28.143;50.0;-50.0;70.0;10.0
1268;-134.007;-134.613;38.2;-10.247;-14.979;4.137;4.137;3.386;7.323;28.171;50.0;-50.0;70.0;10.0
1269;-134.036;-134.613;38.239;-11.911;-14.979;4.124;4.124;3.515;7.365;28.198;50.0;-50.0;70.0;10.0
1270;-134.064;-134.613;38.278;-12.952;-14.979;4.117;4.117;3.648;7.408;28.222;50.0;-50.0;70.0;10.0
1271;-134.091;-134.613;38.319;-13.16;-14.979;4.117;4.117;3.786;7.45;28.245;50.0;-50.0;70.0;10.0
1272;-134.116;-134.613;38.36;-13.784;-14.979;4.123;4.123;3.929;7.493;28.266;50.0;-50.0;70.0;10.0
1273;-134.139;-134.613;38.401;-13.576;-14.979;4.135;4.135;4.076;7.536;28.285;50.0;-50.0;70.0;10.0
1274;-134.161;-134.613;38.443;-14.408;-14.979;4.154;4.154;4.226;7.578;28.302;50.0;-50.0;70.0;10.0
1275;-134.181;-134.613;38.486;-13.576;-14.979;4.18;4.18;4.38;7.621;28.317;50.0;-50.0;70.0;10.0
1276;-134.198;-134.613;38.53;-13.784;-14.979;4.212;4.212;4.538;7.664;28.329;50.0;-50.0;70.0;10.0
1277;-134.214;-134.613;38.574;-13.992;-14.979;4.251;4.251;4.698;7.706;28.339;50.0;-50.0;70.0;10.0
1278;-134.228;-134.613;38.618;-14.2;-14.979;4.297;4.297;4.86;7.749;28.347;50.0;-50.0;70.0;10.0
1279;-134.24;-134.613;38.663;-14.408;-14.979;4.349;4.349;5.025;7.791;28.352;50.0;-50.0;70.0;10.0
1280;-134.251;-134.613;38.709;-15.032;-14.979;4.407;4.407;5.192;7.834;28.355;50.0;-50.0;70.0;10.0
1281;-134.26;-134.613;38.755;-15.24;-14.979;4.472;4.472;5.36;7.877;28.356;50.0;-50.0;70.0;10.0
1282;-134.268;-134.613;38.802;-15.448;-14.979;4.544;4.544;5.53;7.919;28.353;50.0;-50.0;70.0;10.0
1283;-134.275;-134.613;38.849;-15.656;-14.979;4.623;4.623;5.701;7.962;28.348;50.0;-50.0;70.0;10.0
1284;-134.281;-134.613;38.896;-16.072;-14.979;4.708;4.708;5.872;8.005;28.34;50.0;-50.0;70.0;10.0
1285;-134.29;-134.613;38.944;-16.28;-14.979;4.798;4.798;6.043;8.047;28.33;50.0;-50.0;70.0;10.0
1286;-134.301;-134.613;38.992;-16.488;-14.979;4.894;4.894;6.215;8.09;28.316;50.0;-50.0;70.0;10.0
1287;-134.314;-134.613;39.04;-16.488;-14.979;4.995;4.995;6.385;8.132;28.3;50.0;-50.0;70.0;10.0
1288;-134.328;-134.613;39.089;-16.488;-14.979;5.101;5.101;6.554;8.175;28.28;50.0;-50.0;70.0;10.0
1289;-134.344;-134.613;39.137;-16.28;-14.979;5.211;5.211;6.723;8.218;28.258;50.0;-50.0;70.0;10.0
1290;-134.361;-134.613;39.187;-16.488;-14.979;5.326;5.326;6.889;8.26;28.232;50.0;-50.0;70.0;10.0
1291;-134.378;-134.613;39.236;-16.696;-14.979;5.443;5.443;7.053;8.303;28.203;50.0;-50.0;70.0;10.0
1292;-134.397;-134.613;39.285;-16.696;-14.979;5.564;5.564;7.215;8.346;28.171;50.0;-50.0;70.0;10.0
1293;-134.415;-134.613;39.335;-16.904;-14.979;5.688;5.688;7.373;8.388;28.135;50.0;-50.0;70.0;10.0
1294;-134.433;-134.613;39.384;-16.696;-14.979;5.814;5.814;7.527;8.431;28.096;50.0;-50.0;70.0;10.0
1295;-134.452;-134.613;39.434;-18.361;-14.979;5.942;5.942;7.677;8.473;28.053;50.0;-50.0;70.0;10.0
1296;-134.469;-134.613;39.484;-19.193;-14.979;6.073;6.073;7.821;8.516;28.007;50.0;-50.0;70.0;10.0
1297;-134.486;-134.613;39.534;-18.985;-14.979;6.205;6.205;7.96;8.559;27.957;50.0;-50.0;70.0;10.0
1298;-134.502;-134.613;39.584;-18.153;-14.979;6.339;6.339;8.092;8.539;27.903;50.0;-50.0;70.0;10.0
1299;-134.517;-134.613;39.633;-18.153;-14.979;6.475;6.475;8.218;8.492;27.846;50.0;-50.0;70.0;10.0
1300;-134.531;-134.613;39.683;-18.361;-14.979;6.612;6.612;8.337;8.446;27.786;50.0;-50.0;70.0;10.0
1301;-134.544;-134.613;39.733;-18.361;-14.979;6.749;6.749;8.448;8.399;27.722;50.0;-50.0;70.0;10.0
1302;-134.557;-134.613;39.783;-17.945;-14.979;6.887;6.887;8.551;8.353;27.655;50.0;-50.0;70.0;10.0
1303;-134.569;-134.613;39.832;-17.945;-14.979;7.025;7.025;8.646;8.307;27.585;50.0;-50.0;70.0;10.0
1304;-134.581;-134.613;39.882;-17.32;-14.979;7.163;7.163;8.734;8.26;27.512;50.0;-50.0;70.0;10.0
1305;-134.594;-134.613;39.931;-17.529;-14.979;7.3;7.3;8.814;8.214;27.437;50.0;-50.0;70.0;10.0
1306;-134.606;-134.613;39.98;-18.153;-14.979;7.437;7.437;8.888;8.167;27.359;50.0;-50.0;70.0;10.0
1307;-134.618;-134.613;40.029;-18.361;-14.979;7.571;7.571;8.954;8.121;27.279;50.0;-50.0;70.0;10.0
1308;-134.631;-134.613;40.078;-18.569;-14.979;7.705;7.705;9.014;8.075;27.197;50.0;-50.0;70.0;10.0
1309;-134.645;-134.613;40.127;-18.569;-14.979;7.837;7.837;9.067;8.028;27.113;50.0;-50.0;70.0;10.0
1310;-134.658;-134.613;40.175;-17.945;-14.979;7.966;7.966;9.114;7.982;27.028;50.0;-50.0;70.0;10.0
1311;-134.672;-134.613;40.223;-17.32;-14.979;8.094;8.094;9.154;7.935;26.941;50.0;-50.0;70.0;10.0
1312;-134.687;-134.613;40.271;-16.696;-14.979;8.219;8.219;9.188;7.889;26.852;50.0;-50.0;70.0;10.0
1313;-134.701;-134.613;40.319;-16.488;-14.979;8.341;8.341;9.216;7.843;26.762;50.0;-50.0;70.0;10.0
1314;-134.717;-134.613;40.366;-15.24;-14.979;8.46;8.46;9.238;7.796;26.671;50.0;-50.0;70.0;10.0
1315;-134.733;-134.613;40.414;-14.824;-14.979;8.576;8.576;9.255;7.75;26.579;50.0;-50.0;70.0;10.0
1316;-134.75;-134.613;40.46;-14.616;-14.979;8.689;8.689;9.266;7.703;26.487;50.0;-50.0;70.0;10.0
1317;-134.768;-134.613;40.507;-15.032;-14.979;8.799;8.799;9.271;7.657;26.394;50.0;-50.0;70.0;10.0
1318;-134.788;-134.613;40.553;-16.072;-14.979;8.905;8.905;9.272;7.61;26.3;50.0;-50.0;70.0;10.0
1319;-134.809;-134.613;40.599;-16.696;-14.979;9.009;9.009;9.267;7.564;26.206;50.0;-50.0;70.0;10.0
1320;-134.831;-134.613;40.644;-16.488;-14.979;9.108;9.108;9.257;7.518;26.113;50.0;-50.0;70.0;10.0
1321;-134.856;-134.613;40.689;-15.656;-14.979;9.204;9.204;9.241;7.471;26.019;50.0;-50.0;70.0;10.0
1322;-134.882;-134.613;40.734;-15.448;-14.979;9.296;9.296;9.22;7.425;25.926;50.0;-50.0;70.0;10.0
1323;-134.909;-134.613;40.778;-15.448;-14.979;9.384;9.384;9.194;7.378;25.833;50.0;-50.0;70.0;10.0
1324;-134.939;-134.613;40.821;-15.656;-14.979;9.467;9.467;9.162;7.332;25.741;50.0;-50.0;70.0;10.0
1325;-134.97;-134.613;40.865;-15.448;-14.979;9.546;9.546;9.125;7.286;25.649;50.0;-50.0;70.0;10.0
1326;-135.003;-134.613;40.907;-14.824;-14.979;9.618;9.618;9.082;7.239;25.559;50.0;-50.0;70.0;10.0
1327;-135.038;-134.613;40.95;-13.992;-14.979;9.684;9.684;9.034;7.193;25.469;50.0;-50.0;70.0;10.0
1328;-135.074;-134.613;40.991;-13.784;-14.979;9.744;9.744;8.98;7.146;25.381;50.0;-50.0;70.0;10.0
1329;-135.11;-134.613;41.032;-14.824;-14.979;9.796;9.796;8.92;7.1;25.295;50.0;-50.0;70.0;10.0
